ID_PONTO_ONIBUS_LINHA;COD_LINHA;NOME_LINHA;NOME_SUB_LINHA;ORIGEM;IDENTIFICADOR_PONTO_ONIBUS;GEOMETRIA
6798;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;VIA RUA DA OLARIA;ESTACAO DIAMANTE;6798;POINT (603081.68 7788956.99)
6799;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;VIA RUA DA OLARIA;ESTACAO DIAMANTE;6799;POINT (602963.12 7788876.8)
6800;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;VIA RUA DA OLARIA;ESTACAO DIAMANTE;6800;POINT (602944.08 7788493.81)
6801;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;VIA RUA DA OLARIA;ESTACAO DIAMANTE;6801;POINT (602740.57 7788432.68)
6802;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;VIA RUA DA OLARIA;ESTACAO DIAMANTE;6802;POINT (602791.03 7788335.29)
6803;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;VIA RUA DA OLARIA;ESTACAO DIAMANTE;6803;POINT (602082.91 7788776.31)
6804;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;VIA RUA DA OLARIA;ESTACAO DIAMANTE;6804;POINT (602108.08 7788646.17)
6805;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;VIA RUA DA OLARIA;ESTACAO DIAMANTE;6805;POINT (602112.14 7788635.57)
6806;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;VIA RUA DA OLARIA;ESTACAO DIAMANTE;6806;POINT (603182.62 7788839.41)
6807;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;VIA RUA DA OLARIA;ESTACAO DIAMANTE;6807;POINT (602412.67 7788468.21)
6808;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;VIA RUA DA OLARIA;ESTACAO DIAMANTE;6808;POINT (602873.39 7788008.74)
6809;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;VIA RUA DA OLARIA;ESTACAO DIAMANTE;6809;POINT (603281.74 7788937.02)
6810;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;VIA RUA DA OLARIA;ESTACAO DIAMANTE;6810;POINT (602731.67 7788144.87)
6811;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6811;POINT (602876.9 7787843.1)
6812;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6812;POINT (602140.42 7788889.02)
6813;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6813;POINT (602473.02 7788598.68)
6814;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6814;POINT (602499.52 7787847.02)
6815;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6815;POINT (602667.93 7787905.15)
6816;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6816;POINT (602526.65 7788704.53)
6817;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6817;POINT (602786.11 7788019.81)
6818;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6818;POINT (603034.88 7788663.44)
6819;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6819;POINT (602113.28 7788416.65)
6820;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6820;POINT (602124.35 7788416.0)
6821;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6821;POINT (602195.3 7788275.11)
6822;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6822;POINT (602284.51 7787926.49)
6823;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6823;POINT (602277.09 7788397.33)
6824;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6824;POINT (602770.91 7788842.17)
6825;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6825;POINT (603215.29 7789039.15)
6826;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6826;POINT (603097.82 7788958.54)
6827;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6827;POINT (602939.77 7788851.88)
6828;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6828;POINT (602941.51 7788500.81)
6829;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6829;POINT (602775.46 7788451.11)
6830;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6830;POINT (602082.91 7788776.31)
6831;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6831;POINT (602108.08 7788646.17)
6832;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6832;POINT (602112.14 7788635.57)
6833;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6833;POINT (603214.23 7788858.96)
6834;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6834;POINT (602885.98 7787991.06)
6835;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6835;POINT (603282.8 7788907.6)
6836;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;PRINCIPAL;ESTACAO DIAMANTE;6836;POINT (602731.12 7788160.79)
6837;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6837;POINT (602876.9 7787843.1)
6838;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6838;POINT (602140.42 7788889.02)
6839;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6839;POINT (602533.71 7787861.28)
6840;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6840;POINT (602504.1 7788704.43)
6841;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6841;POINT (602786.84 7788034.46)
6842;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6842;POINT (603370.68 7788530.95)
6843;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6843;POINT (603040.13 7788656.58)
6844;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6844;POINT (602113.28 7788416.65)
6845;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6845;POINT (602124.35 7788416.0)
6846;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6846;POINT (602190.23 7788258.48)
6847;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6847;POINT (602278.27 7787905.86)
6848;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6848;POINT (602242.2 7788407.71)
6849;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6849;POINT (603402.02 7788459.22)
6850;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6850;POINT (603207.19 7789043.79)
6851;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6851;POINT (603081.68 7788956.99)
6852;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6852;POINT (602963.12 7788876.8)
6853;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6853;POINT (602944.08 7788493.81)
6854;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6854;POINT (602740.57 7788432.68)
6855;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6855;POINT (602791.03 7788335.29)
6856;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6856;POINT (602082.91 7788776.31)
6857;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6857;POINT (602108.08 7788646.17)
6858;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6858;POINT (602112.14 7788635.57)
6859;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6859;POINT (603182.62 7788839.41)
6860;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6860;POINT (602412.67 7788468.21)
6861;301;EST.DIAMANTE-NOVO STA.CECILIA V. BRASIL INDUSTRIAL;RUA DA OLARIA VIA C.S.MIRAMAR;ESTACAO DIAMANTE;6861;POINT (602873.39 7788008.74)
